bootstrap_draw,raw_D1_prior_testing_treatment,raw_D2_prior_utilization,raw_D3_triage_urgency_pain,raw_D4_patient_vulnerability,raw_D5_respiratory_status,raw_D6_prior_medication_device,raw_D7_circulatory_status,raw_D8_arrival_mode,raw_D9_thermal_inflammatory,raw_D10_consciousness_neurologic,weight_D1_prior_testing_treatment,weight_D2_prior_utilization,weight_D3_triage_urgency_pain,weight_D4_patient_vulnerability,weight_D5_respiratory_status,weight_D6_prior_medication_device,weight_D7_circulatory_status,weight_D8_arrival_mode,weight_D9_thermal_inflammatory,weight_D10_consciousness_neurologic
38,0.0046966265042121006,0.00066165357265503505,0.025143601802264829,0.039591400905952097,0.0024013293269128386,3.1503456181999713e-05,0.0047844658643833677,0.01642344943754202,0.0022427400700506667,0.00031337423448377555,0.048775775503235155,0.0068714567981491004,0.26112331388287541,0.41116773512124516,0.024938474467533674,0.00032717217452380803,0.04968801174518863,0.17056210069841801,0.023291480825821501,0.0032544787830095958
39,0.0048874872239753038,0.00060071640835399238,0.025425802874322837,0.0389032816538077,0.0027487333703355436,2.692914597232856e-05,0.0056165993712960528,0.016403099511082483,0.0025270341452988611,0.00015190526754488669,0.050235454838571912,0.0061743919973075694,0.26133608406419245,0.39986274317102438,0.02825252829539969,0.00027678801689713791,0.057729547133956852,0.16859730305982457,0.025973819237615579,0.0015613401852098423
40,0.0048929205808707936,0.00053850578890808469,0.025437449109686858,0.039394406325806292,0.0024929744974436906,3.4741350529903137e-05,0.0046876733066634445,0.017061758786144677,0.0021458985475036516,0.00032651615209598338,0.050435801659354594,0.0055508710417181487,0.2622070227405498,0.40607412916209307,0.025697365247755989,0.00035811083293578976,0.04832013052961745,0.17587113215407965,0.022119736409808955,0.0033657002220865489
41,0.0047339465225804782,0.00041950574891364142,0.025642946578173179,0.039586699282766681,0.0025701992876652705,1.3692368806410521e-05,0.0050461058333290754,0.016984450726888017,0.0023174705179138965,0.00029912451104075469,0.04849652371826986,0.0042975919573867783,0.26269704590089421,0.40554266752642082,0.02633019408233505,0.00014027034006658395,0.051694413965949725,0.17399580109099291,0.023741135097812414,0.0030643563198716342
42,0.0050525677809010495,0.0006322806710104869,0.024873814108881023,0.040055080089948007,0.0023900842309230626,2.6191007335302173e-05,0.0050706696262751358,0.016628385982873639,0.0022490080036599979,0.00027875052192097099,0.051950774827503397,0.0065011440106976072,0.25575390017651739,0.41184849697937304,0.024574975157939865,0.00026929735207612053,0.052136898979374492,0.17097396282470576,0.023124421769272579,0.002866127922539792
43,0.0047502200284392044,0.00050822413024727807,0.024686122809462616,0.038119938527132073,0.0023664223781710864,9.5916783499188327e-06,0.0050266378358568564,0.01698832615879569,0.0023565567479049191,0.00045085148949287109,0.049864327436303889,0.0053349643363799753,0.25913681967029084,0.40015516864241968,0.024840967283886357,0.00010068640758546305,0.052765958934587943,0.17833099374456834,0.024737405129920342,0.0047327084140573244
44,0.0043420557949906402,0.00042026672546316028,0.024528633169254719,0.039000702295070008,0.002605963999500048,2.2646055457619748e-05,0.0042427820163462478,0.016389135024972246,0.002175840871090403,0.00028271619664465821,0.046186804781505893,0.0044704117407988212,0.2609130893832699,0.41485367952253832,0.027719853496908021,0.00024088795535491135,0.045130821429228203,0.17433257785619163,0.023144598386923954,0.003007275447280338
45,0.0045652256005118078,0.00066316779413532205,0.025729344045510794,0.038696697371344714,0.0024402126553825891,2.7035082261497003e-05,0.0050998731155110551,0.017134176668295472,0.0021053832245418007,0.00028794550675074066,0.047186252251898229,0.0068545140060320411,0.26593895343775309,0.39996974591462275,0.025222081005645897,0.00027943508664693368,0.052712378388091084,0.17709915196921233,0.021761278108360451,0.0029762098317370925
46,0.004897274184870919,0.00048000344457263387,0.024427136328885227,0.038662013581038435,0.0026710961484220481,2.0852653272714532e-05,0.0047194884355096301,0.01681334416119417,0.0022831315072368422,0.00012380678922173125,0.051497051491540158,0.005047453168466021,0.25686237891387936,0.40654854700601961,0.028087783265043062,0.00021927507400701477,0.049627553982578107,0.17679991303913969,0.024008159713285966,0.0013018843460409196
47,0.005149629414047392,0.00067247186055394994,0.025706593648637917,0.039464311038922756,0.0027696824696081452,1.4284537660999175e-05,0.0050922292475452276,0.017228331585947124,0.0025650900879048508,0.00035686477165217584,0.052006221033927005,0.0067913081519351062,0.25961145624839405,0.39855094761639753,0.027971084349353997,0.00014425986090162195,0.051426535486389792,0.17398930067869667,0.02590490137399375,0.0036039852000103833
