panel,alternative_id,criterion_id,u0,u_lower,u_upper,interval_width,m_L,m_B,m_Neg,boundary_discordance,rho,ignorance_mass,epsilon_n,epsilon_p,config_threshold,config_target_mode,config_median_band_radius,config_epsilon_multiplier,config_nu,config_t2nn_weight,config_boundary_metric,config_rho_power,config_equal_spacing,p0_VWI,singleton_VWI,p0_PI,singleton_PI,p0_EI,singleton_EI,p0_SI,singleton_SI,p0_VSI,singleton_VSI,p0_AI,singleton_AI
A,A5,D8,0.46969952532306225,0.46144937028143868,0.48456935116012112,0.023119980878682445,0.40000000000000002,0.5,0.10000000000000001,0.04623996175736491,0.04623996175736491,0.023119980878682455,0.22222222222222221,0.30813953488372092,SI,threshold_upper_set,1,1,3,0.5,W1,1,False,0,0,0.10000000000000001,0.10000000000000001,0.35769535413687892,0.34115553464080256,0.14230464586312111,0.13572448448051502,0.40000000000000002,0.40000000000000002,0,0
A,A5,D9,0.58720858648223584,0.5805909001540811,0.59338016614180866,0.012789265987727561,0.40000000000000002,0.59999999999999998,0,0.021315443312879247,0.021315443312879247,0.012789265987727548,0.22222222222222221,0.30813953488372092,SI,threshold_upper_set,1,1,3,0.5,W1,1,False,0,0,0,0,0.076598364362881588,0.074965636269445315,0.52340163563711839,0.51224509774282712,0.40000000000000002,0.40000000000000002,0,0
A,A5,D10,0.58720858648223584,0.5805909001540811,0.59338016614180866,0.012789265987727561,0.40000000000000002,0.59999999999999998,0,0.021315443312879247,0.021315443312879247,0.012789265987727548,0.22222222222222221,0.30813953488372092,SI,threshold_upper_set,1,1,3,0.5,W1,1,False,0,0,0,0,0.076598364362881588,0.074965636269445315,0.52340163563711839,0.51224509774282712,0.40000000000000002,0.40000000000000002,0,0
B,A1,D1,0.47229080562212278,0.45900182279548851,0.48914791501804433,0.03014609222255582,0.20000000000000001,0.59999999999999998,0.20000000000000001,0.050243487037593043,0.050243487037593043,0.030146092222555824,0.22222222222222221,0.30813953488372092,SI,threshold_upper_set,1,1,3,0.5,W1,1,False,0,0,0.20000000000000001,0.20000000000000001,0.24483906529489782,0.23253749689145722,0.35516093470510218,0.33731641088598691,0.06902915781386193,0.06902915781386193,0.13097084218613805,0.13097084218613805
B,A1,D2,0.27991040311610627,0.27070708175301356,0.29796974845034241,0.027262666697328852,0,0.69999999999999996,0.30000000000000004,0.038946666710469827,0.038946666710469827,0.027262666697328877,0.22222222222222221,0.30813953488372092,SI,threshold_upper_set,1,1,3,0.5,W1,1,False,0,0,0.30000000000000004,0.30000000000000004,0.55011512051127065,0.52868997026032827,0.14988487948872928,0.14404736304234281,0,0,0,0
B,A1,D3,0.8234201934808445,0.8234201934808445,0.8234201934808445,0,1,0,0,0,0,0,0.22222222222222221,0.30813953488372092,SI,threshold_upper_set,1,1,3,0.5,W1,1,False,0,0,0,0,0,0,0.10000000000000001,0.10000000000000001,0.42776842870367476,0.42776842870367476,0.47223157129632526,0.47223157129632526
B,A1,D4,0.6597611991612109,0.6597611991612109,0.6597611991612109,0,0.90000000000000002,0,0.10000000000000001,0,0,0,0.22222222222222221,0.30813953488372092,SI,threshold_upper_set,1,1,3,0.5,W1,1,False,0,0,0.10000000000000001,0.10000000000000001,0,0,0.25,0.25,0.46360516498625909,0.46360516498625909,0.18639483501374099,0.18639483501374099
B,A1,D5,0.70355183662900345,0.69718669381110643,0.7132244590842588,0.016037765273152371,0.69999999999999996,0.30000000000000004,0,0.053459217577174409,0.053459217577174409,0.016037765273152326,0.22222222222222221,0.30813953488372092,SI,threshold_upper_set,1,1,3,0.5,W1,1,False,0,0,0,0,0.17065430184061492,0.1615312563880367,0.12934569815938513,0.12243097833881104,0.374874187043444,0.374874187043444,0.32512581295655607,0.32512581295655607
B,A1,D6,0.49683450765983295,0.48509106602437302,0.50899263948357387,0.023901573459200853,0.20000000000000001,0.69999999999999996,0.10000000000000001,0.034145104941715583,0.034145104941715583,0.023901573459200905,0.22222222222222221,0.30813953488372092,SI,threshold_upper_set,1,1,3,0.5,W1,1,False,0,0,0.10000000000000001,0.10000000000000001,0.15626520601082397,0.15092951415284556,0.54373479398917601,0.52516891238795349,0.20000000000000001,0.20000000000000001,0,0
B,A1,D7,0.64165225568050344,0.63722259473829213,0.64727129214581069,0.01004869740751857,0.80000000000000004,0.20000000000000001,0,0.050243487037593043,0.050243487037593043,0.01004869740751861,0.22222222222222221,0.30813953488372092,SI,threshold_upper_set,1,1,3,0.5,W1,1,False,0,0,0,0,0.081613021764965946,0.077512498963819079,0.11838697823503407,0.11243880362866231,0.80000000000000004,0.80000000000000004,0,0
